key,en,fa,pl
menu.project,Project,پروژه
menu.project.new_project,New Project,پروژه جدید
menu.project.open_project,Open Project,باز کردن پروژه
menu.project.recent_projects,Recent Projects,پروژه های اخیر
menu.project.close_project,Close Project,بستن پروژه
menu.project.project_settings,Project Settings,تنظیمات پروژه
menu.file,File,فایل,Plik
menu.file.new,New,جدید,Nowy
menu.file.new_window,New Window,پنجره جدید,Nowe okno
menu.file.new_with_template,New With Template,جدید با قابل,Nowy z szablonu
menu.file.open,Open...,بازکردن...,Otwórz
menu.file.recent_files,Recent Files,فایل های اخیر,Ostatnie pliki
menu.file.save,Save,ذخیره,Zapisz
menu.file.save_as,Save As...,ذخیره به عنوان...,Zapisz jako...
menu.file.reload,Reload,بارگذاری مجدد,Załaduj ponownie
menu.file.close,Close,بستن,Zamknij
menu.file.backup_create,Create Backup...,ایجاد پشتیبان...,Stwórz kopię...
menu.file.backup_load,Load From Backup...,بارگذاری از پشتیبان...,Wczytaj kopię...
menu.file.copy_path,Copy Path,رونوشت مسیر,Skopiuj ścieżkę
menu.file.show_in_filesystem,Show In FileSystem,نمایش در فایل ها,Pokaż w eksploratorze plików
menu.file.secure_delete,Secure Delete,حذف امن,Bezpiecznie usuń
menu.file.restart,Restart,راه اندازی دوباره,Zrestartuj
menu.file.exit,Exit,خروج,Zamknij
menu.edit,Edit,ویرایش,Edytuj
menu.edit.undo,Undo,لغو عمل,Cofnij
menu.edit.redo,Redo,بازگردادن عمل,Ponów
menu.edit.cut,Cut,برش,Wytnij
menu.edit.copy,Copy,رونوشت,Kopiuj
menu.edit.paste,Paste,جایگذاری,Wklej
menu.edit.delete,Delete,حذف,Usuń
menu.edit.select_all,Select All,انتخاب همه,Zaznacz wszystko
menu.edit.select_next_occurence,Select Next Occurence,انتخاب مشابه بعدی,Następny podobny wybór
menu.edit.select_all_occurences,Select All Occurences,انتخاب همه مشابهات,Zaznacz wszystkie podobne
menu.edit.duplicate_selection,Duplicate Selection,تکثیر انتخاب شده,Zduplikuj zaznaczenie
menu.edit.evulate_selection,Evaluate Selection,محاسبه انتخاب شده,Przelicz zaznaczenie
menu.edit.line,Line,خط,Linia
menu.edit.line.move_up,Move Lines Up,انتقال به بالا,Przesuń linie do góry
menu.edit.line.move_down,Move Lines Down,انتقال به پایین,Przesuń linie w dół
menu.edit.line.indent,Indent,ایجاد فرورفتگی,Wcięcie
menu.edit.line.unindent,Unindent,حذف فرورفتگی,Usuń wcięcie
menu.edit.line.delete,Delete Lines,حذف خطوط,Usuń linie
menu.edit.line.toggle_comment,Toggle Comment,تغییر کامنت گذاری,Przełącz komentarz
menu.edit.line.duplicate,Duplicate Lines,تکثیر خطوط,Zduplikuj linie
menu.edit.line.select_whole,Select Whole Line,انتخاب کل خط,Zaznacz całą linię
menu.edit.line.select_paragraph,Select Paragraph,انتخاب بند,Zaznacz paragraf
menu.edit.line.join,Join Lines,ادغام خطوط,Połącz linie
menu.edit.line.move_to_new_file,Move To New File,انتقال به فایل جدید,Przenieś do nowego pliku
menu.edit.completion_query,Completion Query,درخواست تکمیل,Uzupełnij
menu.edit.indention,Indention,فرورفتگی,Akapit
menu.edit.indention.auto_indent,Auto Indent,تورفتگی خودکار,Automatyczne wcięcie
menu.edit.indention.to_spaces,Convert Indent To Spaces,تبدیل فرورفتگی به فاصله,Zmień wcięcie na spacje
menu.edit.indention.to_tabs,Convert Indent To Tabs,تبدیل فرورفتگی به تب,Zmień wcięcie na tabulatory
menu.edit.convert_case,Convert Case,تبدیل حروف,Zmień wielkość liter
menu.edit.convert_case.upper,UPPER,UPPER,DUŻE
menu.edit.convert_case.lower,lower,lower,małe
menu.edit.convert_case.capitalize,Capitalize,Capitalize,Pierwsza Litera Duża
menu.edit.convert_case.camel,camelCase,camelCase,camelCase
menu.edit.convert_case.pascal,PascalCase,PascalCase,PascalCase
menu.edit.convert_case.snake,snake_case,snake_case,snake_case
menu.search,Search,جستجو,Szukaj
menu.search.find_and_replace,Find and Replace...,یافتن و جایگزینی...,Znajdź i zamień...
menu.search.find_next,Find Next,یافته بعدی,Znajdź następny...
menu.search.find_prev,Find Previous,یافته قبلی,Znajdź poprzedni...
menu.search.replace_all,Replace All,چایگزینی همه,Zamień wszystko
menu.go_to,Go To,انتقال,Skocz do
menu.go_to.line,Go To Line...,برو به خط...,Skocz do linii...
menu.go_to.code_regions,Code Regions...,محدوده کد ها...,Regiony kodu...
menu.go_to.insert_nav_mark,Insert Navigation Mark,افزودن علامت ناوبری,Wstaw znak nawigacji
menu.go_to.nav_marks,Navigation Marks...,علائم ناوبری...,Znaki nawigacji...
menu.go_to.table_of_contents,Table Of Contents...,لیست محتوا...,Spis treści...
menu.go_to.bookmarks,Bookmarks...,نشانک ها...,Zakładki...
menu.go_to.toggle_bookmark,Toggle Bookmark,نشانک گذاری,Przełącz zakładki
menu.go_to.remove_all_bookmarks,Remove All Bookmarks,حذف همه نشانک ها,Usuń wszystkie zakładki
menu.command,Command,دستور,Komendy
menu.command.palette,Command Palette...,پالت فرمان...,Lista komend...
menu.format,Format,قالب,Formatuj
menu.format.auto_format,Auto Format,قالب بندی خودکار,Automatyczne formatowanie
menu.format.auto_indention,Auto Indention,تورفتگی خودکار,Automatyczny akapit
menu.format.remove_all_indents,Remove All Indents,حذف همه تورفتگی ها,Usuń wszystkie akapity
menu.format.save_as_template,Save As Template...,ذخیره به عنوان قالب...,Zapisz jako szablon...
menu.format.templates,Templates...,قالب ها...,Szablony...
menu.view,View,نمایش,Widok
menu.view.increase_font,Increase Font Size,افزایش اندازه قلم,Zwiększ rozmiar czcionki
menu.view.reduce_font,Reduce Font Size,کاهش اندازه قلم,Zmniejsz rozmiar czcionki
menu.view.reset_font,Reset Font Size,بازنشانی اندازه قلم,Zresetuj rozmiar czcionki
menu.view.toggle_dark_mode,Toggle Dark Mode,تغییر حالت تاریک,Przełącz ciemny motyw
menu.view.focus_editor,Focus On Editor,تمرکز روی ویرایشگر,Fokus na edytorze
menu.view.line_length_guides,Line Length Guides...,خطوط راهنما...,Ustawienia długości linii...
menu.view.show_bookmarks,Show Bookmarks,نمایش نشانک ها,Pokaż zakładki
menu.view.show_line_numbers,Show Line Numbers,نمایش شماره خط,Pokaż numery linii
menu.view.show_fold_gutter,Show Fold Gutter,نمایش نگهدارنده خط,
